municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Fresnedillas de la Oliva;15/03/2020 07:00;;0;;0;0565,,
Valdilecha;15/03/2020 07:00;;0;;0;1659,,
El Berrueco;15/03/2020 07:00;;0;;0;0210,,
Pezuela de las Torres;15/03/2020 07:00;;0;;0;1111,,
Villar del Olmo;15/03/2020 07:00;;0;;0;1795,,
Guadarrama;15/03/2020 07:00;;24,95;;24,95;685
San Martín de Valdeiglesias;15/03/2020 07:00;11;130,04;11;130,04;1338
Torrelodones;15/03/2020 07:00;13;54,81;13;54,81;1527
Boadilla del Monte;15/03/2020 07:00;26;47,65;27;49,48;225
Torrejón de Velasco;15/03/2020 07:00;;91,28;;91,28;1505
Villanueva de Perales;15/03/2020 07:00;;0;;0;1782,,
Tielmes;15/03/2020 07:00;;0;;0;1467,,
San Sebastián de los Reyes;15/03/2020 07:00;26;29,12;26;29,12;1343
Guadalix de la Sierra;15/03/2020 07:00;;0;;0;0679,,
Humanes de Madrid;15/03/2020 07:00;9;45,59;9;45,59;730
Chinchón;15/03/2020 07:00;;0;;0;0528,,
Cadalso de los Vidrios;15/03/2020 07:00;;0;;0;0318,,
Hoyo de Manzanares;15/03/2020 07:00;;11,86;;11,86;724
Torrejón de la Calzada;15/03/2020 07:00;;11,27;;11,27;1492
Estremera;15/03/2020 07:00;;0;;0;0552,,
Corpa;15/03/2020 07:00;;0;;0;0480,,
Meco;15/03/2020 07:00;19;132,82;19;132,82;838
Madarcos;15/03/2020 07:00;;0;;0;0783,,
Zarzalejo;15/03/2020 07:00;;0;;0;1837,,
Arganda del Rey;15/03/2020 07:00;17;30,69;17;30,69;148
Collado Mediano;15/03/2020 07:00;;28,74;;28,74;468
Daganzo de Arriba;15/03/2020 07:00;11;107,79;11;107,79;534
Manzanares El Real;15/03/2020 07:00;;33,94;;33,94;822
Buitrago del Lozoya;15/03/2020 07:00;;159,24;;159,24;278
Valdelaguna;15/03/2020 07:00;;0;;0;1570,,
Valdepiélagos;15/03/2020 07:00;;0;;0;1631,,
Casarrubuelos;15/03/2020 07:00;;26,47;;26,47;360
Miraflores de la Sierra;15/03/2020 07:00;;65,49;;65,49;856
Paracuellos de Jarama;15/03/2020 07:00;12;47,49;12;47,49;1049
El Vellón;15/03/2020 07:00;;0;;0;1684,,
Lozoya;15/03/2020 07:00;;172,12;;172,12;761
Collado Villalba;15/03/2020 07:00;24;37,69;24;37,69;474
Colmenarejo;15/03/2020 07:00;;43,81;;43,81;442
Villavieja del Lozoya;15/03/2020 07:00;;0;;0;1821,,
Prádena del Rincón;15/03/2020 07:00;;0;;0;1179,,
La Cabrera;15/03/2020 07:00;;0;;0;0301,,
Sevilla la Nueva;15/03/2020 07:00;;32,2;;32,2;1415
La Acebeda;15/03/2020 07:00;;0;;0;0014,,
Redueña;15/03/2020 07:00;;0;;0;1219,,
Robledillo de la Jara;15/03/2020 07:00;;0;;0;1245,,
La Serna del Monte;15/03/2020 07:00;;0;;0;1381,,
Colmenar de Oreja;15/03/2020 07:00;;24,9;;24,9;437
Rozas de Puerto Real;15/03/2020 07:00;;0;;0;1283,,
Valdemanco;15/03/2020 07:00;;0;;0;1586,,
Brunete;15/03/2020 07:00;;27,94;;27,94;262
Titulcia;15/03/2020 07:00;;152,32;;152,32;1473
Villa del Prado;15/03/2020 07:00;;30,67;;30,67;1718
Valdetorres de Jarama;05/03/2020 07:00;;0;;0;1646,,
Madrid-Retiro;04/03/2020 07:00;;0,84;;0,84;79603
Madrid-Salamanca;04/03/2020 07:00;;2,74;;2,74;79604
Madrid-Centro;04/03/2020 07:00;;1,48;;1,48;79601
Madrid-Arganzuela;04/03/2020 07:00;;0;;0;079602,,
Madrid-Chamartin;04/03/2020 07:00;;3,43;;3,43;79605
Madrid-Tetuan;04/03/2020 07:00;8;5,06;8;5,06;79606
Madrid-Chamberi;04/03/2020 07:00;;1,43;;1,43;79607
Madrid-Fuencarral-El Pardo;04/03/2020 07:00;;1,63;;1,63;79608
Madrid-Moncloa-Aravaca;04/03/2020 07:00;;0;;0;079609,,
Madrid-Latina;04/03/2020 07:00;;0,42;;0,42;79610
Madrid-Carabanchel;04/03/2020 07:00;;0,79;;0,79;79611
Madrid-Usera;04/03/2020 07:00;;0,72;;0,72;79612
Madrid-Puente de Vallecas;04/03/2020 07:00;;0,43;;0,43;79613
Madrid-San Blas - Canillejas;04/03/2020 07:00;;0,63;;0,63;79620
Madrid-Barajas;04/03/2020 07:00;;2,04;;2,04;79621
Madrid-Moratalaz;04/03/2020 07:00;;3,17;;3,17;79614
Madrid-Ciudad Lineal;04/03/2020 07:00;;1,39;;1,39;79615
