municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Madrid-Retiro;01/07/2020 09:00;28;23,47;1691;1417,23;79603
Madrid-Salamanca;01/07/2020 09:00;23;15,74;1781;1218,99;79604
Madrid-Centro;01/07/2020 09:00;18;13,35;1282;950,7;79601
Madrid-Arganzuela;01/07/2020 09:00;16;10,4;1769;1150,17;79602
Madrid-Chamartin;01/07/2020 09:00;12;8,23;1800;1234,15;79605
Madrid-Tetuan;01/07/2020 09:00;11;6,96;2233;1413,09;79606
Madrid-Chamberi;01/07/2020 09:00;23;16,5;1739;1247,68;79607
Madrid-Fuencarral-El Pardo;01/07/2020 09:00;27;10,98;3290;1337,73;79608
Madrid-Moncloa-Aravaca;01/07/2020 09:00;25;20,93;1568;1313,02;79609
Madrid-Latina;01/07/2020 09:00;49;20,57;3080;1292,93;79610
Madrid-Carabanchel;01/07/2020 09:00;30;11,85;2957;1168,32;79611
Madrid-Usera;01/07/2020 09:00;23;16,46;1505;1076,99;79612
Madrid-Puente de Vallecas;01/07/2020 09:00;53;22,57;3348;1425,55;79613
Madrid-San Blas - Canillejas;01/07/2020 09:00;13;8,22;1584;1001,63;79620
Madrid-Barajas;01/07/2020 09:00;8;16,34;464;948;79621
Madrid-Moratalaz;01/07/2020 09:00;18;19,03;1517;1604,1;79614
Madrid-Ciudad Lineal;01/07/2020 09:00;37;17,11;2431;1123,99;79615
Madrid-Hortaleza;01/07/2020 09:00;10;5,31;1885;1001,66;79616
Madrid-Villaverde;01/07/2020 09:00;34;22,83;1588;1066,16;79617
Madrid-Villa de Vallecas;01/07/2020 09:00;16;14,5;1318;1194,22;79618
Madrid-Vicalvaro;01/07/2020 09:00;22;30,52;929;1288,65;79619
Pozuelo de Alarcón;01/07/2020 09:00;;5,79;859;993,96;1150
Alcorcón;01/07/2020 09:00;15;8,8;1960;1149,47;72
Navalcarnero;01/07/2020 09:00;;0;223;761,14;967
San Agustín del Guadalix;01/07/2020 09:00;;0;84;627,85;1296
Las Rozas de Madrid;01/07/2020 09:00;10;10,44;870;908,01;1277
Moraleja de Enmedio;01/07/2020 09:00;;0;29;564,64;894
Valdaracete;01/07/2020 09:00;;0;7;1149,43;1551
Pozuelo del Rey;01/07/2020 09:00;;87,18;;348,74;1163
Puebla de la Sierra;01/07/2020 09:00;;0;;0;1185,,
Perales de Tajuña;01/07/2020 09:00;;34,07;12;408,86;1104
Valdemorillo;01/07/2020 09:00;;0;52;415,4;1603
Navalafuente;01/07/2020 09:00;;0;8;552,1;941
Velilla de San Antonio;01/07/2020 09:00;;8,17;78;637,46;1678
Villanueva de la Cañada;01/07/2020 09:00;;4,66;174;811,38;1760
Villanueva del Pardillo;01/07/2020 09:00;;5,82;114;663,56;1776
Nuevo Baztán;01/07/2020 09:00;;0;33;525,81;1006
Villamantilla;01/07/2020 09:00;;0;8;555,17;1757
Villamanta;01/07/2020 09:00;;0;18;704,5;1744
Cabanillas de la Sierra;01/07/2020 09:00;;0;10;1322,75;297
Cenicientos;01/07/2020 09:00;;49,19;38;1869,16;376
Puentes Viejas;01/07/2020 09:00;;0;;294,55;9020
Aranjuez;01/07/2020 09:00;;3,36;479;803,6;133
Cercedilla;01/07/2020 09:00;;14,23;125;1779,11;382
Santorcaz;01/07/2020 09:00;;0;7;790,07;1369
Coslada;01/07/2020 09:00;6;7,35;872;1067,83;493
Morata de Tajuña;01/07/2020 09:00;;0;112;1457,76;915
Robregordo;01/07/2020 09:00;;0;;0;1261,,
Navarredonda y San Mamés;01/07/2020 09:00;;0;;775,19;973
Venturada;01/07/2020 09:00;;0;;138,7;1697
Navacerrada;01/07/2020 09:00;;0;19;639,3;936
Montejo de la Sierra;01/07/2020 09:00;;0;;283,29;881
Fresno de Torote;01/07/2020 09:00;;0;14;630,35;571
Pinilla del Valle;01/07/2020 09:00;;0;;0;1126,,
Valdemaqueda;01/07/2020 09:00;;0;;640,2;1599
Navas del Rey;01/07/2020 09:00;;34,27;83;2844,41;992
Olmeda de las Fuentes;01/07/2020 09:00;;287,36;;1149,43;1013
Bustarviejo;01/07/2020 09:00;;0;11;439,47;284
Becerril de la Sierra;01/07/2020 09:00;;0;35;612,53;186
Fuenlabrada;01/07/2020 09:00;31;16;1718;886,94;587
Garganta de los Montes;01/07/2020 09:00;;0;;288,18;626
Pinto;01/07/2020 09:00;8;15,23;361;687,28;1132
Alameda del Valle;01/07/2020 09:00;;0;;0;0035,,
Berzosa del Lozoya;01/07/2020 09:00;;0;;975,61;203
Los Santos de la Humosa;01/07/2020 09:00;;0;21;810,81;1375
El Álamo;01/07/2020 09:00;;21,12;110;1161,56;40
Pelayos de la Presa;01/07/2020 09:00;;0;20;770,42;1090
Galapagar;01/07/2020 09:00;;8,89;299;886,14;611
Griñón;01/07/2020 09:00;;9,69;114;1104,76;663
Gargantilla del Lozoya y Pinilla de Buitrago;01/07/2020 09:00;;0;;949,37;632
Aldea del Fresno;01/07/2020 09:00;;0;62;2184,64;88
Carabaña;01/07/2020 09:00;;0;14;696,52;357
Talamanca de Jarama;01/07/2020 09:00;;0;66;1711,17;1454
Chapinería;01/07/2020 09:00;;0;8;343,64;513
Ciempozuelos;01/07/2020 09:00;;0;278;1130,45;409
Ajalvir;01/07/2020 09:00;;21,22;36;764,01;29
San Lorenzo de El Escorial;01/07/2020 09:00;;5,44;150;816,59;1317
Gascones;01/07/2020 09:00;;0;;0;0647,,
San Martín de la Vega;01/07/2020 09:00;;10,43;107;558,16;1322
Móstoles;01/07/2020 09:00;25;11,95;2335;1116,24;920
Leganés;01/07/2020 09:00;61;32,13;3403;1792,36;745
Braojos;01/07/2020 09:00;;0;;975,61;246
Cubas de la Sagra;01/07/2020 09:00;;0;36;561,36;506
Algete;01/07/2020 09:00;;0;136;659,84;91
Mejorada del Campo;01/07/2020 09:00;;0;192;824,95;843
Loeches;01/07/2020 09:00;;0;52;591,51;758
Parla;01/07/2020 09:00;10;7,68;835;641,7;1065
Fuentidueña de Tajo;01/07/2020 09:00;;48,71;20;974,18;604
Ambite;01/07/2020 09:00;;0;7;1182,43;112
Torremocha de Jarama;01/07/2020 09:00;;0;16;1570,17;1533
Anchuelo;01/07/2020 09:00;;78,68;9;708,1;127
Los Molinos;01/07/2020 09:00;;22,78;56;1275,92;875
Soto del Real;01/07/2020 09:00;;0;77;875,1;1441
Valverde de Alcalá;01/07/2020 09:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;01/07/2020 09:00;;29,87;42;627,24;590
Horcajo de la Sierra-Aoslos;01/07/2020 09:00;;0;;2758,62;702
Valdeolmos-Alalpardo;01/07/2020 09:00;;0;11;265,96;1625
Campo Real;01/07/2020 09:00;;16,1;32;515,3;339
Valdeavero;01/07/2020 09:00;;0;10;643,5;1564
Villamanrique de Tajo;01/07/2020 09:00;;0;;568,99;1739
Cobeña;01/07/2020 09:00;;13,46;89;1198,17;416
Fresnedillas de la Oliva;01/07/2020 09:00;;0;9;572,52;565
Valdilecha;01/07/2020 09:00;;0;21;715,99;1659
El Berrueco;01/07/2020 09:00;;526,32;12;1578,95;210
Pezuela de las Torres;01/07/2020 09:00;;0;;237,53;1111
Villar del Olmo;01/07/2020 09:00;;0;7;348,09;1795
Guadarrama;01/07/2020 09:00;;0;237;1478,29;685
San Martín de Valdeiglesias;01/07/2020 09:00;;0;101;1193,99;1338
Torrelodones;01/07/2020 09:00;;4,22;362;1526,33;1527
Boadilla del Monte;01/07/2020 09:00;;5,5;400;733;225
Torrejón de Velasco;01/07/2020 09:00;;22,82;24;547,7;1505
Villanueva de Perales;01/07/2020 09:00;;0;;319,9;1782
Tielmes;01/07/2020 09:00;;37,74;37;1396,23;1467
San Sebastián de los Reyes;01/07/2020 09:00;8;8,96;628;703,44;1343
Guadalix de la Sierra;01/07/2020 09:00;;0;53;852,91;679
Humanes de Madrid;01/07/2020 09:00;;10,13;143;724,31;730
Chinchón;01/07/2020 09:00;;18,76;32;600,26;528
Cadalso de los Vidrios;01/07/2020 09:00;;0;15;493,58;318
Hoyo de Manzanares;01/07/2020 09:00;;0;44;521,7;724
Torrejón de la Calzada;01/07/2020 09:00;;0;41;462,13;1492
Estremera;01/07/2020 09:00;;0;10;793,65;552
Corpa;01/07/2020 09:00;;0;6;841,51;480
Meco;01/07/2020 09:00;;6,99;146;1020,62;838
Madarcos;01/07/2020 09:00;;0;;0;0783,,
Zarzalejo;01/07/2020 09:00;;0;43;2593,49;1837
Arganda del Rey;01/07/2020 09:00;;3,61;376;678,84;148
Collado Mediano;01/07/2020 09:00;;0;33;474,27;468
Daganzo de Arriba;01/07/2020 09:00;;0;46;450,76;534
Manzanares El Real;01/07/2020 09:00;;0;48;542,99;822
Buitrago del Lozoya;01/07/2020 09:00;;53,08;18;955,41;278
Valdelaguna;01/07/2020 09:00;;0;;106,72;1570
Valdepiélagos;01/07/2020 09:00;;0;;0;1631,,
Casarrubuelos;01/07/2020 09:00;;0;11;291,16;360
Miraflores de la Sierra;01/07/2020 09:00;;0;39;638,51;856
Paracuellos de Jarama;01/07/2020 09:00;;7,91;84;332,42;1049
El Vellón;01/07/2020 09:00;;0;14;715,02;1684
Lozoya;01/07/2020 09:00;;0;;172,12;761
Collado Villalba;01/07/2020 09:00;7;10,99;573;899,83;474
Colmenarejo;01/07/2020 09:00;;21,91;52;569,55;442
Villavieja del Lozoya;01/07/2020 09:00;;0;;0;1821,,
Prádena del Rincón;01/07/2020 09:00;;0;;0;1179,,
La Cabrera;01/07/2020 09:00;;0;12;449,94;301
Sevilla la Nueva;01/07/2020 09:00;;32,2;159;1706,37;1415
La Acebeda;01/07/2020 09:00;;0;;0;0014,,
Redueña;01/07/2020 09:00;;0;;769,23;1219
Robledillo de la Jara;01/07/2020 09:00;;0;;1250;1245,,
La Serna del Monte;01/07/2020 09:00;;0;;0;1381,,
Colmenar de Oreja;01/07/2020 09:00;;0;28;348,61;437
Rozas de Puerto Real;01/07/2020 09:00;;0;;943,4;1283
Valdemanco;01/07/2020 09:00;;0;;218,82;1586
Brunete;01/07/2020 09:00;;9,31;119;1108,42;262
Titulcia;01/07/2020 09:00;;0;10;761,61;1473
Villa del Prado;01/07/2020 09:00;;15,34;136;2085,89;1718
Lozoyuela-Navas-Sieteiglesias;01/07/2020 09:00;;76,98;;307,93;9015
Quijorna;01/07/2020 09:00;;0;35;1017,74;1198
Valdemoro;01/07/2020 09:00;11;14,48;894;1176,58;1610
Tres Cantos;01/07/2020 09:00;;4,19;454;951,34;9036
Torrelaguna;01/07/2020 09:00;;21,01;27;567,23;1512
Rivas-Vaciamadrid;01/07/2020 09:00;8;9,08;628;712,42;1230
El Atazar;01/07/2020 09:00;;0;;0;0164,,
Pedrezuela;01/07/2020 09:00;;0;36;611;1087,,
Santa María de la Alameda;01/07/2020 09:00;;0;7;558,21;1356
Horcajuelo de la Sierra;01/07/2020 09:00;;0;;0;0719,,
Arroyomolinos;01/07/2020 09:00;;3,19;199;633,84;151
Moralzarzal;01/07/2020 09:00;;15,35;82;629,51;908
Canencia;01/07/2020 09:00;;0;;671,14;344
Villarejo de Salvanés;01/07/2020 09:00;;0;44;599,86;1809
Serranillos del Valle;01/07/2020 09:00;;0;39;936,37;1408
Villaviciosa de Odón;01/07/2020 09:00;;17,96;237;851,45;1816
Camarma de Esteruelas;01/07/2020 09:00;;0;46;627,04;323
Robledo de Chavela;01/07/2020 09:00;;0;30;702,58;1258
Patones;01/07/2020 09:00;;184,84;16;2957,49;1071
Navalagamella;01/07/2020 09:00;;0;8;306,51;954
Rascafría;01/07/2020 09:00;;0;7;420,67;1202
El Boalo;01/07/2020 09:00;;0;47;626;0231,,
Majadahonda;01/07/2020 09:00;6;8,35;638;888,26;800
Batres;01/07/2020 09:00;;0;10;593,82;170
Alcobendas;01/07/2020 09:00;16;13,67;901;769,82;66
Alcalá de Henares;01/07/2020 09:00;11;5,62;2530;1293,13;53
Colmenar Viejo;01/07/2020 09:00;;9,85;508;1000,95;455
San Fernando de Henares;01/07/2020 09:00;;10,14;447;1133,6;1300
Villalbilla;01/07/2020 09:00;;7,21;95;684,54;1723
El Escorial;01/07/2020 09:00;;0;147;909,54;549
Colmenar del Arroyo;01/07/2020 09:00;;0;52;3014,49;421
Torrejón de Ardoz;01/07/2020 09:00;14;10,66;1133;862,41;1489
Piñuécar-Gandullas;01/07/2020 09:00;;0;;0;1147,,
Brea de Tajo;01/07/2020 09:00;;0;8;1526,72;259
El Molar;01/07/2020 09:00;;0;40;447,53;869
Belmonte de Tajo;01/07/2020 09:00;;0;;300,48;199
Torres de la Alameda;01/07/2020 09:00;;12,86;90;1156,96;1548
Somosierra;01/07/2020 09:00;;0;;2325,58;1436
Alpedrete;01/07/2020 09:00;;6,86;151;1036,02;105
Orusco de Tajuña;01/07/2020 09:00;;0;24;1929,26;1028
La Hiruela;01/07/2020 09:00;;0;;3508,77;698
Cervera de Buitrago;01/07/2020 09:00;;0;;2000;0395,,
Getafe;01/07/2020 09:00;36;19,63;1618;882,35;650
Ribatejada;01/07/2020 09:00;;0;;255,43;1224
Villaconejos;01/07/2020 09:00;;0;9;265,64;1701
Valdetorres de Jarama;01/07/2020 09:00;;0;18;400,27;1646
Madrid-Retiro;30/06/2020 09:00;30;25,14;1684;1411,37;79603
Madrid-Salamanca;30/06/2020 09:00;20;13,69;1776;1215,57;79604
Madrid-Centro;30/06/2020 09:00;21;15,57;1280;949,22;79601
Madrid-Arganzuela;30/06/2020 09:00;19;12,35;1761;1144,97;79602
Madrid-Chamartin;30/06/2020 09:00;10;6,86;1788;1225,93;79605
Madrid-Tetuan;30/06/2020 09:00;10;6,33;2226;1408,66;79606
Madrid-Chamberi;30/06/2020 09:00;22;15,78;1727;1239,07;79607
Madrid-Fuencarral-El Pardo;30/06/2020 09:00;27;10,98;3278;1332,85;79608
Madrid-Moncloa-Aravaca;30/06/2020 09:00;24;20,1;1561;1307,16;79609
Madrid-Latina;30/06/2020 09:00;56;23,51;3078;1292,09;79610
Madrid-Carabanchel;30/06/2020 09:00;34;13,43;2952;1166,34;79611
Madrid-Usera;30/06/2020 09:00;22;15,74;1500;1073,41;79612
Madrid-Puente de Vallecas;30/06/2020 09:00;55;23,42;3343;1423,42;79613
Madrid-San Blas - Canillejas;30/06/2020 09:00;13;8,22;1583;1001;79620
Madrid-Barajas;30/06/2020 09:00;6;12,26;458;935,74;79621
Madrid-Moratalaz;30/06/2020 09:00;21;22,21;1514;1600,93;79614
Madrid-Ciudad Lineal;30/06/2020 09:00;36;16,64;2425;1121,21;79615
Madrid-Hortaleza;30/06/2020 09:00;12;6,38;1876;996,88;79616
Madrid-Villaverde;30/06/2020 09:00;29;19,47;1578;1059,44;79617
Madrid-Villa de Vallecas;30/06/2020 09:00;18;16,31;1318;1194,22;79618
Madrid-Vicalvaro;30/06/2020 09:00;24;33,29;929;1288,65;79619
Pozuelo de Alarcón;30/06/2020 09:00;6;6,94;859;993,96;1150
Alcorcón;30/06/2020 09:00;14;8,21;1956;1147,12;72
Navalcarnero;30/06/2020 09:00;;0;222;757,73;967
San Agustín del Guadalix;30/06/2020 09:00;;0;84;627,85;1296
Las Rozas de Madrid;30/06/2020 09:00;9;9,39;868;905,92;1277
Moraleja de Enmedio;30/06/2020 09:00;;0;29;564,64;894
Valdaracete;30/06/2020 09:00;;0;7;1149,43;1551
Pozuelo del Rey;30/06/2020 09:00;;87,18;;348,74;1163
Puebla de la Sierra;30/06/2020 09:00;;0;;0;1185,,
Perales de Tajuña;30/06/2020 09:00;;34,07;12;408,86;1104
Valdemorillo;30/06/2020 09:00;;0;52;415,4;1603
Navalafuente;30/06/2020 09:00;;0;8;552,1;941
Velilla de San Antonio;30/06/2020 09:00;;8,17;78;637,46;1678
Villanueva de la Cañada;30/06/2020 09:00;;4,66;173;806,71;1760
Villanueva del Pardillo;30/06/2020 09:00;;5,82;114;663,56;1776
Nuevo Baztán;30/06/2020 09:00;;0;33;525,81;1006
Villamantilla;30/06/2020 09:00;;0;8;555,17;1757
Villamanta;30/06/2020 09:00;;0;18;704,5;1744
Cabanillas de la Sierra;30/06/2020 09:00;;0;10;1322,75;297
Cenicientos;30/06/2020 09:00;;0;37;1819,97;376
Puentes Viejas;30/06/2020 09:00;;0;;294,55;9020
Aranjuez;30/06/2020 09:00;;3,36;478;801,92;133
Cercedilla;30/06/2020 09:00;;14,23;125;1779,11;382
Santorcaz;30/06/2020 09:00;;0;7;790,07;1369
Coslada;30/06/2020 09:00;6;7,35;872;1067,83;493
Morata de Tajuña;30/06/2020 09:00;;0;112;1457,76;915
Robregordo;30/06/2020 09:00;;0;;0;1261,,
Navarredonda y San Mamés;30/06/2020 09:00;;0;;775,19;973
Venturada;30/06/2020 09:00;;0;;138,7;1697
Navacerrada;30/06/2020 09:00;;0;19;639,3;936
Montejo de la Sierra;30/06/2020 09:00;;0;;283,29;881
Fresno de Torote;30/06/2020 09:00;;0;14;630,35;571
Pinilla del Valle;30/06/2020 09:00;;0;;0;1126,,
Valdemaqueda;30/06/2020 09:00;;0;;640,2;1599
Navas del Rey;30/06/2020 09:00;;34,27;83;2844,41;992
Olmeda de las Fuentes;30/06/2020 09:00;;0;;862,07;1013
Bustarviejo;30/06/2020 09:00;;0;11;439,47;284
Becerril de la Sierra;30/06/2020 09:00;;0;35;612,53;186
Fuenlabrada;30/06/2020 09:00;29;14,97;1714;884,87;587
Garganta de los Montes;30/06/2020 09:00;;0;;288,18;626
Pinto;30/06/2020 09:00;11;20,94;361;687,28;1132
Alameda del Valle;30/06/2020 09:00;;0;;0;0035,,
Berzosa del Lozoya;30/06/2020 09:00;;0;;975,61;203
Los Santos de la Humosa;30/06/2020 09:00;;0;21;810,81;1375
El Álamo;30/06/2020 09:00;;21,12;110;1161,56;40
Pelayos de la Presa;30/06/2020 09:00;;0;19;731,9;1090
Galapagar;30/06/2020 09:00;;8,89;297;880,21;611
Griñón;30/06/2020 09:00;;9,69;114;1104,76;663
Gargantilla del Lozoya y Pinilla de Buitrago;30/06/2020 09:00;;0;;949,37;632
Aldea del Fresno;30/06/2020 09:00;;0;62;2184,64;88
Carabaña;30/06/2020 09:00;;0;14;696,52;357
Talamanca de Jarama;30/06/2020 09:00;;0;66;1711,17;1454
Chapinería;30/06/2020 09:00;;0;8;343,64;513
Ciempozuelos;30/06/2020 09:00;;0;278;1130,45;409
Ajalvir;30/06/2020 09:00;;21,22;36;764,01;29
San Lorenzo de El Escorial;30/06/2020 09:00;;5,44;150;816,59;1317
Gascones;30/06/2020 09:00;;0;;0;0647,,
San Martín de la Vega;30/06/2020 09:00;;10,43;106;552,95;1322
Móstoles;30/06/2020 09:00;30;14,34;2334;1115,76;920
Leganés;30/06/2020 09:00;70;36,87;3400;1790,78;745
Braojos;30/06/2020 09:00;;0;;975,61;246
Cubas de la Sagra;30/06/2020 09:00;;0;36;561,36;506
Algete;30/06/2020 09:00;;0;134;650,14;91
Mejorada del Campo;30/06/2020 09:00;;0;190;816,36;843
Loeches;30/06/2020 09:00;;0;52;591,51;758
Parla;30/06/2020 09:00;10;7,68;833;640,16;1065
Fuentidueña de Tajo;30/06/2020 09:00;;48,71;20;974,18;604
Ambite;30/06/2020 09:00;;0;7;1182,43;112
Torremocha de Jarama;30/06/2020 09:00;;0;16;1570,17;1533
Anchuelo;30/06/2020 09:00;;78,68;9;708,1;127
Los Molinos;30/06/2020 09:00;;22,78;56;1275,92;875
Soto del Real;30/06/2020 09:00;;0;77;875,1;1441
Valverde de Alcalá;30/06/2020 09:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;30/06/2020 09:00;;29,87;41;612,31;590
Horcajo de la Sierra-Aoslos;30/06/2020 09:00;;0;;2758,62;702
Valdeolmos-Alalpardo;30/06/2020 09:00;;0;11;265,96;1625
Campo Real;30/06/2020 09:00;;16,1;32;515,3;339
Valdeavero;30/06/2020 09:00;;0;10;643,5;1564
Villamanrique de Tajo;30/06/2020 09:00;;0;;568,99;1739
Cobeña;30/06/2020 09:00;;13,46;88;1184,71;416
Fresnedillas de la Oliva;30/06/2020 09:00;;0;9;572,52;565
Valdilecha;30/06/2020 09:00;;0;21;715,99;1659
El Berrueco;30/06/2020 09:00;;526,32;12;1578,95;210
Pezuela de las Torres;30/06/2020 09:00;;0;;237,53;1111
Villar del Olmo;30/06/2020 09:00;;0;7;348,09;1795
Guadarrama;30/06/2020 09:00;;6,24;237;1478,29;685
San Martín de Valdeiglesias;30/06/2020 09:00;;11,82;101;1193,99;1338
Torrelodones;30/06/2020 09:00;;4,22;363;1530,55;1527
Boadilla del Monte;30/06/2020 09:00;;3,67;399;731,17;225
Torrejón de Velasco;30/06/2020 09:00;;22,82;24;547,7;1505
Villanueva de Perales;30/06/2020 09:00;;0;;319,9;1782
Tielmes;30/06/2020 09:00;;37,74;37;1396,23;1467
San Sebastián de los Reyes;30/06/2020 09:00;7;7,84;625;700,08;1343
Guadalix de la Sierra;30/06/2020 09:00;;0;52;836,82;679
Humanes de Madrid;30/06/2020 09:00;;15,2;143;724,31;730
Chinchón;30/06/2020 09:00;;18,76;32;600,26;528
Cadalso de los Vidrios;30/06/2020 09:00;;0;15;493,58;318
Hoyo de Manzanares;30/06/2020 09:00;;0;44;521,7;724
Torrejón de la Calzada;30/06/2020 09:00;;0;41;462,13;1492
Estremera;30/06/2020 09:00;;0;10;793,65;552
Corpa;30/06/2020 09:00;;0;6;841,51;480
Meco;30/06/2020 09:00;;6,99;145;1013,63;838
Madarcos;30/06/2020 09:00;;0;;0;0783,,
Zarzalejo;30/06/2020 09:00;;0;43;2593,49;1837
Arganda del Rey;30/06/2020 09:00;;3,61;377;680,64;148
Collado Mediano;30/06/2020 09:00;;0;33;474,27;468
Daganzo de Arriba;30/06/2020 09:00;;0;44;431,16;534
Manzanares El Real;30/06/2020 09:00;;0;48;542,99;822
Buitrago del Lozoya;30/06/2020 09:00;;53,08;17;902,34;278
Valdelaguna;30/06/2020 09:00;;0;;106,72;1570
Valdepiélagos;30/06/2020 09:00;;0;;0;1631,,
Casarrubuelos;30/06/2020 09:00;;0;11;291,16;360
Miraflores de la Sierra;30/06/2020 09:00;;0;39;638,51;856
Paracuellos de Jarama;30/06/2020 09:00;;7,91;84;332,42;1049
El Vellón;30/06/2020 09:00;;0;14;715,02;1684
Lozoya;30/06/2020 09:00;;0;;172,12;761
Collado Villalba;30/06/2020 09:00;;7,85;571;896,68;474
Colmenarejo;30/06/2020 09:00;;21,91;51;558,6;442
Villavieja del Lozoya;30/06/2020 09:00;;0;;0;1821,,
Prádena del Rincón;30/06/2020 09:00;;0;;0;1179,,
La Cabrera;30/06/2020 09:00;;0;12;449,94;301
Sevilla la Nueva;30/06/2020 09:00;;32,2;159;1706,37;1415
La Acebeda;30/06/2020 09:00;;0;;0;0014,,
Redueña;30/06/2020 09:00;;0;;769,23;1219
Robledillo de la Jara;30/06/2020 09:00;;0;;1250;1245,,
La Serna del Monte;30/06/2020 09:00;;0;;0;1381,,
Colmenar de Oreja;30/06/2020 09:00;;0;28;348,61;437
Rozas de Puerto Real;30/06/2020 09:00;;0;;943,4;1283
Valdemanco;30/06/2020 09:00;;0;;218,82;1586
Brunete;30/06/2020 09:00;;9,31;119;1108,42;262
Titulcia;30/06/2020 09:00;;0;10;761,61;1473
Villa del Prado;30/06/2020 09:00;;15,34;136;2085,89;1718
Lozoyuela-Navas-Sieteiglesias;30/06/2020 09:00;;76,98;;307,93;9015
Quijorna;30/06/2020 09:00;;0;35;1017,74;1198
Valdemoro;30/06/2020 09:00;12;15,79;894;1176,58;1610
Tres Cantos;30/06/2020 09:00;;4,19;453;949,25;9036
Torrelaguna;30/06/2020 09:00;;21,01;27;567,23;1512
Rivas-Vaciamadrid;30/06/2020 09:00;9;10,21;627;711,29;1230
El Atazar;30/06/2020 09:00;;0;;0;0164,,
Pedrezuela;30/06/2020 09:00;;0;36;611;1087,,
Santa María de la Alameda;30/06/2020 09:00;;0;7;558,21;1356
Horcajuelo de la Sierra;30/06/2020 09:00;;0;;0;0719,,
Arroyomolinos;30/06/2020 09:00;;3,19;199;633,84;151
Moralzarzal;30/06/2020 09:00;;7,68;81;621,83;908
Canencia;30/06/2020 09:00;;0;;671,14;344
Villarejo de Salvanés;30/06/2020 09:00;;13,63;44;599,86;1809
Serranillos del Valle;30/06/2020 09:00;;0;39;936,37;1408
Villaviciosa de Odón;30/06/2020 09:00;;14,37;235;844,26;1816
Camarma de Esteruelas;30/06/2020 09:00;;0;46;627,04;323
Robledo de Chavela;30/06/2020 09:00;;0;30;702,58;1258
Patones;30/06/2020 09:00;;184,84;16;2957,49;1071
Navalagamella;30/06/2020 09:00;;0;8;306,51;954
Rascafría;30/06/2020 09:00;;0;6;360,58;1202
El Boalo;30/06/2020 09:00;;0;46;612,68;231
Majadahonda;30/06/2020 09:00;6;8,35;638;888,26;800
Batres;30/06/2020 09:00;;0;10;593,82;170
Alcobendas;30/06/2020 09:00;13;11,11;889;759,57;66
Alcalá de Henares;30/06/2020 09:00;12;6,13;2517;1286,49;53
Colmenar Viejo;30/06/2020 09:00;;7,88;507;998,98;455
San Fernando de Henares;30/06/2020 09:00;;10,14;447;1133,6;1300
Villalbilla;30/06/2020 09:00;;7,21;94;677,33;1723
El Escorial;30/06/2020 09:00;;6,19;147;909,54;549
Colmenar del Arroyo;30/06/2020 09:00;;0;52;3014,49;421
Torrejón de Ardoz;30/06/2020 09:00;10;7,61;1126;857,08;1489
Piñuécar-Gandullas;30/06/2020 09:00;;0;;0;1147,,
Brea de Tajo;30/06/2020 09:00;;0;8;1526,72;259
El Molar;30/06/2020 09:00;;0;40;447,53;869
Belmonte de Tajo;30/06/2020 09:00;;0;;300,48;199
Torres de la Alameda;30/06/2020 09:00;;12,86;89;1144,11;1548
Somosierra;30/06/2020 09:00;;0;;2325,58;1436
Alpedrete;30/06/2020 09:00;;6,86;151;1036,02;105
Orusco de Tajuña;30/06/2020 09:00;;0;24;1929,26;1028
La Hiruela;30/06/2020 09:00;;0;;3508,77;698
Cervera de Buitrago;30/06/2020 09:00;;0;;2000;0395,,
Getafe;30/06/2020 09:00;45;24,54;1617;881,8;650
Ribatejada;30/06/2020 09:00;;0;;255,43;1224
Villaconejos;30/06/2020 09:00;;0;9;265,64;1701
Valdetorres de Jarama;30/06/2020 09:00;;0;18;400,27;1646
Madrid-Retiro;29/06/2020 09:00;35;29,33;1676;1404,66;79603
Madrid-Salamanca;29/06/2020 09:00;18;12,32;1770;1211,47;79604
Madrid-Centro;29/06/2020 09:00;24;17,8;1277;946,99;79601
Madrid-Arganzuela;29/06/2020 09:00;18;11,7;1758;1143,02;79602
Madrid-Chamartin;29/06/2020 09:00;11;7,54;1787;1225,24;79605
Madrid-Tetuan;29/06/2020 09:00;8;5,06;2224;1407,39;79606
Madrid-Chamberi;29/06/2020 09:00;22;15,78;1719;1233,33;79607
Madrid-Fuencarral-El Pardo;29/06/2020 09:00;29;11,79;3267;1328,38;79608
Madrid-Moncloa-Aravaca;29/06/2020 09:00;26;21,77;1554;1301,3;79609
Madrid-Latina;29/06/2020 09:00;58;24,35;3063;1285,8;79610
Madrid-Carabanchel;29/06/2020 09:00;41;16,2;2943;1162,79;79611
Madrid-Usera;29/06/2020 09:00;21;15,03;1495;1069,84;79612
Madrid-Puente de Vallecas;29/06/2020 09:00;59;25,12;3339;1421,72;79613
Madrid-San Blas - Canillejas;29/06/2020 09:00;15;9,49;1578;997,84;79620
Madrid-Barajas;29/06/2020 09:00;6;12,26;457;933,7;79621
Madrid-Moratalaz;29/06/2020 09:00;27;28,55;1509;1595,64;79614
Madrid-Ciudad Lineal;29/06/2020 09:00;40;18,49;2418;1117,97;79615
